AntColony,NearestNeighbor
9.53333,9.53333
17.4,17.2667
22.4,22
36,34.7333
31.3,31.2333
37.2333,36.6333
41.5667,41.2333
43.3,43.5667
45.8,48.4333
50.3667,51.8333
52.8667,52.0667
56.4333,58.6333
54.5667,56.3667
63.3,65.2
62.1,64.1
70.3,71.5667
68.7667,69.4667
70.4667,70.0333
74.0667,76.5333
69.3667,71.6333
83.3,84.8
75.2333,76.0333
71.5667,73.7333
96.2,95.3333
77.2333,77.8333
82.6,83.7667
105.167,107.367
86.9,86.9
