num_nodes,NearestNeighbor_0_Ahead,SimulatedAnnealing
333,881.856,6600.44
334,874.46,6422.25
335,879.1,6412.66
336,884.757,6405.44
337,890.238,6460.08
338,895.406,6388.18
339,907.691,6508.76
340,916.686,6533.53
341,925.341,6589.82
342,942.039,6766.29
343,974.237,7003.77
344,977.036,7051.71
345,982.859,7046.74
346,997.536,7078.52
347,983.958,6760.97
348,990.205,6871.31
349,999.604,6906.19
350,1028.44,7224.31
351,1042.39,7289.05
352,1048.83,7356.23
353,1066.13,7337.27
354,1083.72,7512.99
355,1087.98,7538.13
356,1090.87,7590.92
357,1095.91,7553.77
358,1079.9,7205.16
359,1074.19,7072.02
360,1099.31,7328.64
361,1107.32,7365.01
362,1110.52,7409.26
363,1115.02,7239.12
364,1154.12,7537.7
365,1178.16,7879.83
366,1183.37,7899.23
367,1195.5,7949.95
368,1213.17,8037.53
369,1213.99,8029.21
370,1227.12,8156.05
371,1235.44,8146.56
372,1245.83,8186.85
373,1248.53,8149.78
374,1221.68,7855.3
375,1224.55,7694.35
376,1236.49,7659.02
377,1280.86,8215.81
378,1307.86,8447.16
379,1315.3,8426.58
380,1317.11,8395.53
381,1324.1,8540.1
382,1354.34,8549.12
383,1336.3,8455.46
384,1338.95,8435.66
385,1342.08,8450.36
386,1351.63,8433.1
387,1364.74,8480.64
388,1368.4,8512.02
389,1400.71,8708.87
390,1431.01,9032.45
391,1462.03,9138.59
392,1456.3,9020.85
393,1457.63,9070.38
394,1490.32,9150.87
395,1491.26,9253.37
396,1495.96,9295.18
397,1522.34,9433.26
398,1486.48,8997.38
399,1499.82,9052.04
400,1509.62,9094.83
401,1560.71,9606.89
402,1586.68,9667.8
403,1577.96,9610.44
404,1589.43,9608.49
405,1610.19,9755.53
406,1612.89,9727.16
407,1637.22,9848.75
408,1655.48,9816.98
409,1663.89,9991.24
410,1680.25,9867.19
411,1700.12,9972.85
412,1701.21,10112.7
413,1722.43,10266
414,1727.49,10219.2
415,1689.92,9880.2
416,1724.39,9976.82
417,1754.5,10324.2
418,1781.85,10421.8
419,1765.14,10204.1
420,1754.92,10030.7
421,1769.51,10038.2
422,1822.26,10482.8
423,1853.77,10709.5
424,1856.4,10704.3
425,1867.34,10724.9
426,1883.85,10797
427,1903.67,10950.7
428,1913.55,10944.5
429,1908.5,10887.2
430,1864.67,10464.8
431,1936.36,11020.6
432,1951.8,11081.8
433,1957.38,11023.8
434,1985.23,11220.5
435,2007.61,11204
436,2017.42,11070.4
437,2045.15,11322.5
438,2051.77,11507.3
439,2060.44,11508.9
440,1989.99,10841
441,1992.85,10729.6
442,2004.43,10792
443,2013.28,10816.3
444,2030.61,10863.2
445,2092.94,11372.8
446,2075.37,11131.1
447,2073.31,11032.7
448,2083.06,11081.9
449,2124.33,11372.7
450,2158.38,11620.9
451,2142.47,11366.7
452,2135.19,11265.8
453,2160.97,11388.7
454,2210.73,11792.6
455,2221.3,11852.1
