num_nodes,AntSystem,BranchBoundTSP,BruteForceTSP,NearestNeighbor_0_Ahead,SimulatedAnnealing
2,0.562201,0.00229307,0.0010362,0.00123337,6.21946
3,1.34264,0.00443057,0.00261117,0.00217357,10.1121
4,2.69271,0.00945693,0.0080167,0.0036555,17.1773
5,4.6938,0.0226084,0.025932,0.00611807,24.0534
6,7.34455,0.0618097,0.105904,0.0083888,28.9524
7,10.8084,0.229643,0.57395,0.0117583,33.8822
8,15.2451,1.07155,3.92661,0.0167944,40.6554
9,20.5855,5.61732,31.1636,0.0231112,50.6662
10,26.8664,28.9218,280.771,0.0298583,56.2418
