num_nodes,AntSystem,BranchBoundTSP,BruteForceTSP,NearestNeighbor
2,100.321,100.321,100.321,100.321
3,156.775,156.775,156.775,156.775
4,203.366,202.809,202.809,205.727
5,230.402,226.372,226.372,234.155
6,248.315,241.233,241.233,249.324
7,265.265,261.362,261.362,274.161
8,289.463,280.438,280.438,295.53
9,310.135,294.02,294.02,313.193
10,321.872,300.879,300.879,323.139
